"enter" "exit" "position" "id" "zone" "name"
14305 13686 3.16279926365219 37 1 "Cannon Street  LU "
15175 14120 3.16279926365219 37 1 "Cannon Street  LU "
15158 13731 3.16279926365219 37 1 "Cannon Street  LU "
14051 12192 3.16279926365219 37 1 "Cannon Street  LU "
12987 12309 3.16279926365219 37 1 "Cannon Street  LU "
13832 13463 3.16279926365219 37 1 "Cannon Street  LU "
15049 14075 3.16279926365219 37 1 "Cannon Street  LU "
14459 13677 3.16279926365219 37 1 "Cannon Street  LU "
13344 12404 3.16279926365219 37 1 "Cannon Street  LU "
4677 4122 14.6299559816072 38 5 "Canons Park "
4789 4190 14.6299559816072 38 5 "Canons Park "
4846 4202 14.6299559816072 38 5 "Canons Park "
4717 4092 14.6299559816072 38 5 "Canons Park "
4573 3976 14.6299559816072 38 5 "Canons Park "
4521 3868 14.6299559816072 38 5 "Canons Park "
4789 4010 14.6299559816072 38 5 "Canons Park "
4516 3925 14.6299559816072 38 5 "Canons Park "
4535 3932 14.6299559816072 38 5 "Canons Park "
4632 4025 14.6299559816072 38 5 "Canons Park "
1594 1020 33.890408806999 40 8 "Chalfont & Latimer "
1716 974 33.890408806999 40 8 "Chalfont & Latimer "
1644 1062 33.890408806999 40 8 "Chalfont & Latimer "
1690 1135 33.890408806999 40 8 "Chalfont & Latimer "
1636 967 33.890408806999 40 8 "Chalfont & Latimer "
1549 1007 33.890408806999 40 8 "Chalfont & Latimer "
1630 1080 33.890408806999 40 8 "Chalfont & Latimer "
1621 1055 33.890408806999 40 8 "Chalfont & Latimer "
1644 935 33.890408806999 40 8 "Chalfont & Latimer "
1567 985 33.890408806999 40 8 "Chalfont & Latimer "
8328 5546 2.58469888454406 41 2 "Chalk Farm "
9049 5921 2.58469888454406 41 2 "Chalk Farm "
10373 7097 2.58469888454406 41 2 "Chalk Farm "
10955 7385 2.58469888454406 41 2 "Chalk Farm "
9813 6374 2.58469888454406 41 2 "Chalk Farm "
9968 6603 2.58469888454406 41 2 "Chalk Farm "
9003 5945 2.58469888454406 41 2 "Chalk Farm "
8035 6710 2.58469888454406 41 2 "Chalk Farm "
10298 6835 2.58469888454406 41 2 "Chalk Farm "
9784 6922 2.58469888454406 41 2 "Chalk Farm "
25632 28223 1.62690255876098 42 1 "Chancery Lane "
28896 31368 1.62690255876098 42 1 "Chancery Lane "
29259 30989 1.62690255876098 42 1 "Chancery Lane "
29813 31209 1.62690255876098 42 1 "Chancery Lane "
27105 28685 1.62690255876098 42 1 "Chancery Lane "
25569 27377 1.62690255876098 42 1 "Chancery Lane "
28739 29961 1.62690255876098 42 1 "Chancery Lane "
28718 31063 1.62690255876098 42 1 "Chancery Lane "
29312 31091 1.62690255876098 42 1 "Chancery Lane "
26571 28636 1.62690255876098 42 1 "Chancery Lane "
29627 29953 2.66881466596192 43 1 "Embankment "
32546 32695 2.66881466596192 43 1 "Embankment "
34189 34199 2.66881466596192 43 1 "Embankment "
35045 34571 2.66881466596192 43 1 "Embankment "
33893 33778 2.66881466596192 43 1 "Embankment "
29024 28491 2.66881466596192 43 1 "Embankment "
32717 32623 2.66881466596192 43 1 "Embankment "
32883 32356 2.66881466596192 43 1 "Embankment "
34908 34111 2.66881466596192 43 1 "Embankment "
34010 34448 2.66881466596192 43 1 "Embankment "
1533 1201 38.8928412724923 44 9 "Chesham "
1643 1238 38.8928412724923 44 9 "Chesham "
1789 1247 38.8928412724923 44 9 "Chesham "
1776 1272 38.8928412724923 44 9 "Chesham "
1700 1242 38.8928412724923 44 9 "Chesham "
1641 1178 38.8928412724923 44 9 "Chesham "
1760 1270 38.8928412724923 44 9 "Chesham "
1664 1160 38.8928412724923 44 9 "Chesham "
1654 1214 38.8928412724923 44 9 "Chesham "
1561 1160 38.8928412724923 44 9 "Chesham "
1028 853 16.8103152184984 45 4 "Chigwell "
1124 934 16.8103152184984 45 4 "Chigwell "
1123 869 16.8103152184984 45 4 "Chigwell "
1132 942 16.8103152184984 45 4 "Chigwell "
1061 787 16.8103152184984 45 4 "Chigwell "
1021 857 16.8103152184984 45 4 "Chigwell "
1069 894 16.8103152184984 45 4 "Chigwell "
1095 890 16.8103152184984 45 4 "Chigwell "
1012 805 16.8103152184984 45 4 "Chigwell "
1018 858 16.8103152184984 45 4 "Chigwell "
3241 3934 10.8436334355547 46 3 "Chiswick Park "
3101 4008 10.8436334355547 46 3 "Chiswick Park "
3586 3736 10.8436334355547 46 3 "Chiswick Park "
3808 3319 10.8436334355547 46 3 "Chiswick Park "
3359 3881 10.8436334355547 46 3 "Chiswick Park "
2853 3918 10.8436334355547 46 3 "Chiswick Park "
2962 3946 10.8436334355547 46 3 "Chiswick Park "
3050 3928 10.8436334355547 46 3 "Chiswick Park "
2941 3914 10.8436334355547 46 3 "Chiswick Park "
3668 3137 10.8436334355547 46 3 "Chiswick Park "
1638 274 30.5581490754088 47 7 "Chorleywood "
1759 237 30.5581490754088 47 7 "Chorleywood "
1722 274 30.5581490754088 47 7 "Chorleywood "
1782 305 30.5581490754088 47 7 "Chorleywood "
1644 306 30.5581490754088 47 7 "Chorleywood "
1617 263 30.5581490754088 47 7 "Chorleywood "
1773 303 30.5581490754088 47 7 "Chorleywood "
1724 351 30.5581490754088 47 7 "Chorleywood "
1823 312 30.5581490754088 47 7 "Chorleywood "
1605 330 30.5581490754088 47 7 "Chorleywood "
12641 14338 7.7476929663114 48 2 "Clapham Common "
13614 15173 7.7476929663114 48 2 "Clapham Common "
14029 15649 7.7476929663114 48 2 "Clapham Common "
14279 15546 7.7476929663114 48 2 "Clapham Common "
14527 16237 7.7476929663114 48 2 "Clapham Common "
12779 14314 7.7476929663114 48 2 "Clapham Common "
13934 15587 7.7476929663114 48 2 "Clapham Common "
14196 15673 7.7476929663114 48 2 "Clapham Common "
14278 15528 7.7476929663114 48 2 "Clapham Common "
14400 15956 7.7476929663114 48 2 "Clapham Common "
8125 10968 7.35558298000968 49 2 "Clapham North "
9309 11383 7.35558298000968 49 2 "Clapham North "
9945 11146 7.35558298000968 49 2 "Clapham North "
10029 11051 7.35558298000968 49 2 "Clapham North "
11098 11525 7.35558298000968 49 2 "Clapham North "
9055 10280 7.35558298000968 49 2 "Clapham North "
9934 10798 7.35558298000968 49 2 "Clapham North "
10088 11013 7.35558298000968 49 2 "Clapham North "
10159 11024 7.35558298000968 49 2 "Clapham North "
11358 11023 7.35558298000968 49 2 "Clapham North "
13429 11571 8.84734800918629 50 2 "Clapham South "
14552 12134 8.84734800918629 50 2 "Clapham South "
14501 12316 8.84734800918629 50 2 "Clapham South "
14578 12372 8.84734800918629 50 2 "Clapham South "
15058 11727 8.84734800918629 50 2 "Clapham South "
13761 11679 8.84734800918629 50 2 "Clapham South "
14343 12009 8.84734800918629 50 2 "Clapham South "
14470 12005 8.84734800918629 50 2 "Clapham South "
13190 13357 8.84734800918629 50 2 "Clapham South "
14845 11038 8.84734800918629 50 2 "Clapham South "
2435 2360 13.5847781816788 51 5 "Cockfosters "
2611 2535 13.5847781816788 51 5 "Cockfosters "
2591 2559 13.5847781816788 51 5 "Cockfosters "
2722 2666 13.5847781816788 51 5 "Cockfosters "
2665 2669 13.5847781816788 51 5 "Cockfosters "
2503 2536 13.5847781816788 51 5 "Cockfosters "
3237 3033 13.5847781816788 51 5 "Cockfosters "
2583 2556 13.5847781816788 51 5 "Cockfosters "
2679 2651 13.5847781816788 51 5 "Cockfosters "
2755 2791 13.5847781816788 51 5 "Cockfosters "
9904 8411 11.3294665593754 52 4 "Colindale "
10281 8240 11.3294665593754 52 4 "Colindale "
10420 8306 11.3294665593754 52 4 "Colindale "
10382 8268 11.3294665593754 52 4 "Colindale "
10664 8227 11.3294665593754 52 4 "Colindale "
10190 8101 11.3294665593754 52 4 "Colindale "
10471 8584 11.3294665593754 52 4 "Colindale "
10202 8494 11.3294665593754 52 4 "Colindale "
10506 8539 11.3294665593754 52 4 "Colindale "
10483 8303 11.3294665593754 52 4 "Colindale "
10143 8861 13.0164959214914 53 3 "Colliers Wood "
10464 9234 13.0164959214914 53 3 "Colliers Wood "
10643 9369 13.0164959214914 53 3 "Colliers Wood "
10057 9713 13.0164959214914 53 3 "Colliers Wood "
10068 8933 13.0164959214914 53 3 "Colliers Wood "
10395 8961 13.0164959214914 53 3 "Colliers Wood "
10205 9637 13.0164959214914 53 3 "Colliers Wood "
9688 10322 13.0164959214914 53 3 "Colliers Wood "
9693 10153 13.0164959214914 53 3 "Colliers Wood "
10975 9213 13.0164959214914 53 3 "Colliers Wood "
0 19688 2.00516750311851 54 1 "Covent Garden "
20 22150 2.00516750311851 54 1 "Covent Garden "
10 23394 2.00516750311851 54 1 "Covent Garden "
0 23849 2.00516750311851 54 1 "Covent Garden "
20 27354 2.00516750311851 54 1 "Covent Garden "
20 19528 2.00516750311851 54 1 "Covent Garden "
20 21156 2.00516750311851 54 1 "Covent Garden "
20 23312 2.00516750311851 54 1 "Covent Garden "
30 23790 2.00516750311851 54 1 "Covent Garden "
10 26182 2.00516750311851 54 1 "Covent Garden "
1751 1633 25.5264036469286 55 7 "Croxley "
1892 1776 25.5264036469286 55 7 "Croxley "
1859 1732 25.5264036469286 55 7 "Croxley "
1855 1674 25.5264036469286 55 7 "Croxley "
1778 1648 25.5264036469286 55 7 "Croxley "
1786 1597 25.5264036469286 55 7 "Croxley "
1883 1731 25.5264036469286 55 7 "Croxley "
1831 1680 25.5264036469286 55 7 "Croxley "
1860 1710 25.5264036469286 55 7 "Croxley "
1703 1567 25.5264036469286 55 7 "Croxley "
5265 3697 20.0121566772513 56 5 "Dagenham East "
5368 3852 20.0121566772513 56 5 "Dagenham East "
4996 4242 20.0121566772513 56 5 "Dagenham East "
5211 3713 20.0121566772513 56 5 "Dagenham East "
5309 3685 20.0121566772513 56 5 "Dagenham East "
5215 3646 20.0121566772513 56 5 "Dagenham East "
5494 3908 20.0121566772513 56 5 "Dagenham East "
5354 3770 20.0121566772513 56 5 "Dagenham East "
5519 3886 20.0121566772513 56 5 "Dagenham East "
5496 3718 20.0121566772513 56 5 "Dagenham East "
8657 10195 18.7375131669128 57 5 "Dagenham Heathway "
10018 9329 18.7375131669128 57 5 "Dagenham Heathway "
10679 7868 18.7375131669128 57 5 "Dagenham Heathway "
